epoch,training_loss,validation_l2,validation_correlation,learning_rate
0,0.10118740124413708,0.08552889540433967,0.9558345593634687,0.0009997532801828658
1,0.08148080869038948,0.07776186153800808,0.9598006883986394,0.0009990133642141358
2,0.07700452234561946,0.07485489538347223,0.9612542378590233,0.00099778098230154
3,0.07449294378567582,0.07453767308332714,0.9614723102387662,0.000996057350657239
4,0.07284068261842219,0.07159872424558586,0.9630059779034744,0.0009938441702975688
5,0.07170146230196779,0.06996120940189654,0.9637733824497805,0.0009911436253643444
6,0.07072542463876424,0.06968502303090152,0.9639129737125842,0.0009879583809693736
7,0.06992890143742758,0.06989775355501518,0.9638061514808707,0.0009842915805643154
8,0.06932019535091785,0.06879303862293143,0.9644107258279898,0.0009801468428384714
9,0.06872175704862109,0.06730802225442316,0.9651579216153937,0.0009755282581475767
10,0.06822790123254972,0.06827203702371602,0.9646278406353637,0.0009704403844771127
11,0.06778462546983373,0.06699892765833945,0.9653041669805839,0.0009648882429441257
12,0.06732592575882329,0.06772282114754183,0.9649687714412927,0.0009588773128419905
13,0.06694600025189938,0.06621765605411052,0.9657057148499792,0.0009524135262330098
14,0.06660286790448576,0.06599749614648448,0.9657873637376769,0.0009455032620941839
15,0.0662612379381169,0.06607867361609633,0.9657902685565024,0.0009381533400219318
16,0.06589846716026868,0.06639360393056994,0.9656105786733423,0.0009303710135019719
17,0.06567750978498152,0.06558297718299061,0.9660247455402912,0.0009221639627510076
18,0.0653800215821738,0.06492053948896508,0.9663429079175986,0.000913540287137281
19,0.06510463361017409,0.06479954711738756,0.9665167527194557,0.0009045084971874739
20,0.06483862282347289,0.064754825265269,0.9664596482090836,0.0008950775061878452
21,0.06464421076420335,0.06456537503292405,0.9665703026118343,0.0008852566213878947
22,0.06437694030197032,0.06471223172804783,0.9665220020226793,0.0008750555348152298
23,0.06411875256167208,0.06463744621593549,0.9665348174663505,0.0008644843137107057
24,0.06393928664421641,0.06457966199708062,0.9666037740419468,0.0008535533905932737
25,0.06374838394992449,0.06331043909152595,0.9672122941150172,0.0008422735529643444
26,0.06351753326186617,0.06505553834931894,0.9662927844782435,0.0008306559326618259
27,0.0633198652074797,0.06443525652366823,0.96667350398848,0.0008187119948743449
28,0.0631631658200569,0.06423387728025676,0.9667608478265483,0.0008064535268264883
29,0.0630102849102242,0.06300438297598158,0.9673429665609652,0.0007938926261462367
30,0.06286048588404879,0.06266555729368739,0.9675303546472228,0.0007810416889260654
31,0.06264759086854062,0.06418977076449092,0.9667941830059713,0.0007679133974894983
32,0.06250299827935717,0.06265658976760155,0.9675577776800537,0.0007545207078751857
33,0.06237018467122024,0.06371454667609838,0.9670628244539522,0.0007408768370508577
34,0.06221474419097995,0.06309931655714338,0.967334465356066,0.0007269952498697734
35,0.06204063180412126,0.06231621252330113,0.9677203692344121,0.0007128896457825364
36,0.06195266288631464,0.06216406081071012,0.9677969835994182,0.0006985739453173903
37,0.06178697417848889,0.06201428857883018,0.9678773368364056,0.0006840622763423391
38,0.0616514412470023,0.06146253450638441,0.9681774311520946,0.0006693689601226458
39,0.06152855230589023,0.061874697018683616,0.9679548617522643,0.0006545084971874737
40,0.061378525376432576,0.06318924149935409,0.9673916635438192,0.0006394955530196147
41,0.06126154087303056,0.06229152171511441,0.9677466289318963,0.0006243449435824273
42,0.06112581383220057,0.06178984173220365,0.9679850140383635,0.0006090716206982714
43,0.06101732717000139,0.06136625773976146,0.9682094276445631,0.0005936906572928625
44,0.060902871812601726,0.06142041089267295,0.9681589648688893,0.0005782172325201156
45,0.06077991452148676,0.061675985371755934,0.9680811364207977,0.0005626666167821523
46,0.06063762284154246,0.06152186249425047,0.9681669904875256,0.0005470541566592572
47,0.06057284166299349,0.06075067280598484,0.9685606014694851,0.0005313952597646569
48,0.060435589851868525,0.06085915241721361,0.968474000938372,0.0005157053795390643
49,0.06034430387409255,0.060897936569805584,0.9684731973428051,0.0005000000000000002
50,0.060220199048937134,0.06163065611001988,0.9681078149621247,0.00048429462046093607
51,0.060113966608642114,0.060592673792371,0.9686099942737239,0.0004686047402353435
52,0.06002467946548079,0.06158366198666577,0.9681445795004058,0.000452945843340743
53,0.05991784229987955,0.0610428556332652,0.9684024176724951,0.00043733338321784806
54,0.05981637932677274,0.06039952053769594,0.9687168832375024,0.0004217827674798847
55,0.05977767187105495,0.06032873904431613,0.9687331806451039,0.00040630934270713783
56,0.059654228084118244,0.06017539063149772,0.9688319766644158,0.000390928379301729
57,0.05952451706805302,0.06035565882051467,0.9687468743753967,0.0003756550564175727
58,0.05945719262788801,0.06025345237552874,0.968796348200087,0.00036050444698038553
59,0.059366077110970625,0.0601982805166529,0.9688395870916303,0.00034549150281252655
60,0.05930236269642261,0.0600667048524919,0.968920574885573,0.0003306310398773544
61,0.059170067896545615,0.060913839977090004,0.9684858120196256,0.00031593772365766127
62,0.059107119582444065,0.06007427408857568,0.9688766638878479,0.0003014260546826097
63,0.05900416121190146,0.05973460061371537,0.9690586977477423,0.0002871103542174637
64,0.0589576385855659,0.05955375278536218,0.9691602090420507,0.0002730047501302267
65,0.058866647502909944,0.059634995486178816,0.9691089954756678,0.00025912316294914234
66,0.05879356528999565,0.05972020330682276,0.9690719649081615,0.0002454792921248144
67,0.058714936367480784,0.05952795458713831,0.96917199613936,0.00023208660251050164
68,0.05864406587877692,0.05986945608834901,0.9689958013672052,0.00021895831107393473
69,0.05854262864889365,0.059348754829031986,0.9692878869338274,0.00020610737385376356
70,0.05851005936566265,0.06004201988118474,0.968898937158688,0.00019354647317351177
71,0.058451098764843966,0.05921691841477819,0.9693317073791737,0.0001812880051256552
72,0.05833708461389769,0.060002887006161354,0.9689451110705772,0.00016934406733817422
73,0.05831360223257899,0.05926818795175531,0.9693071698907186,0.0001577264470356557
74,0.05825021745888644,0.059267745508066585,0.9693242286068382,0.00014644660940672634
75,0.05815390676503717,0.05887699166237079,0.969505963942927,0.0001355156862892944
76,0.05809055718767247,0.058966736742779705,0.9694575198042046,0.00012494446518477025
77,0.05806184797264397,0.05894675530517155,0.96946944170115,0.00011474337861210548
78,0.05805747662947719,0.059452850872776505,0.9691953903045588,0.00010492249381215483
79,0.05797339659633008,0.05890715899167192,0.9694940481543469,9.549150281252637e-05
80,0.05793041065731651,0.05889036959406238,0.9694857993779811,8.645971286271918e-05
81,0.0578910747978337,0.05907386195534914,0.9693953529197086,7.78360372489926e-05
82,0.05782097976997421,0.05886993038601921,0.9694997579208954,6.962898649802815e-05
83,0.05778498108496459,0.058724581594872975,0.9695760859385714,6.184665997806824e-05
84,0.05777620277644341,0.05870795518422347,0.9695816940549579,5.449673790581613e-05
85,0.05770493466901713,0.05872042142101816,0.9695815678367775,4.758647376699034e-05
86,0.05768134938965732,0.0586438744413748,0.969620445881767,4.112268715800956e-05
87,0.05763108375774794,0.05873575409266804,0.9695745931193848,3.511175705587434e-05
